cliente_id,nome,email,telefone,data_nascimento,idade,faixa_etaria,ativo,cadastrado_em,mes_cadastro,ano_cadastro
34,Bárbara Nunes,brunopinto@example.org,(21) 99666-1128,1988-11-28,37.0,35-44,1,2026-05-20 12:43:22,2026-05,2026
35,Stephany Dias,nicolas53@example.com,(21) 92891-2753,1987-04-26,39.0,35-44,1,2026-05-20 12:43:22,2026-05,2026
36,Letícia Marques,diogo07@example.net,(21) 91832-2512,1998-09-11,27.0,25-34,1,2026-05-20 12:43:22,2026-05,2026
37,Vitor Gabriel Cunha,joao51@example.org,(21) 93143-5291,1985-07-12,40.0,35-44,1,2026-05-20 12:43:22,2026-05,2026
38,Pedro Lucas Nogueira,sarah08@example.com,(21) 92232-3442,2005-07-11,20.0,18-24,1,2026-05-20 12:43:22,2026-05,2026
39,João Camargo,souzaleonardo@example.com,(21) 96050-6974,1979-07-23,46.0,45-54,1,2026-05-20 12:43:22,2026-05,2026
40,Sra. Gabrielly Rodrigues,mirella74@example.org,(21) 97658-3532,1966-08-31,59.0,55+,1,2026-05-20 12:43:22,2026-05,2026
41,Augusto Abreu,jose-pedro42@example.net,(21) 97745-5065,1990-06-13,35.0,35-44,1,2026-05-20 12:43:22,2026-05,2026
42,Sra. Alexia Camargo,saleskaique@example.net,(21) 98711-4644,1962-11-01,63.0,55+,1,2026-05-20 12:43:22,2026-05,2026
43,Clara Lopes,bryandas-neves@example.com,(21) 94728-4652,1963-02-05,63.0,55+,1,2026-05-20 12:43:22,2026-05,2026
44,Josué Rios,fogacajoana@example.net,(21) 95573-6753,1970-11-25,55.0,55+,1,2026-05-20 12:43:22,2026-05,2026
45,Felipe Jesus,cavalcantibrenda@example.com,(21) 95279-3925,2005-12-20,20.0,18-24,1,2026-05-20 12:43:22,2026-05,2026
46,João Felipe Castro,garciabreno@example.com,(21) 96139-8149,1975-07-09,50.0,45-54,1,2026-05-20 12:43:22,2026-05,2026
47,Marcela das Neves,pietroalves@example.net,(21) 95173-1727,1973-07-11,52.0,45-54,1,2026-05-20 12:43:22,2026-05,2026
48,Bernardo Vargas,clara86@example.net,(21) 93041-5920,1996-11-14,29.0,25-34,1,2026-05-20 12:43:22,2026-05,2026
49,Danilo da Luz,viniciusandrade@example.org,(21) 93085-4143,2000-12-23,25.0,25-34,1,2026-05-20 12:43:22,2026-05,2026
50,Dr. Pedro Henrique Pereira,gomesmateus@example.com,(21) 97653-9977,1963-05-28,62.0,55+,1,2026-05-20 12:43:22,2026-05,2026
51,Vicente Nascimento,emanuellalopes@example.org,(21) 94501-9375,2005-08-01,20.0,18-24,1,2026-05-20 12:43:22,2026-05,2026
52,Luara Ribeiro,silveiraana-clara@example.net,(21) 99445-6491,1981-06-06,44.0,35-44,1,2026-05-20 12:43:22,2026-05,2026
53,Lunna Guerra,jose-miguel36@example.net,(21) 94262-3414,1986-03-08,40.0,35-44,1,2026-05-20 12:43:22,2026-05,2026
54,Srta. Liz Guerra,da-rosaallana@example.org,(21) 94185-7291,1989-08-20,36.0,35-44,1,2026-05-20 12:43:22,2026-05,2026
55,Luna Martins,rmacedo@example.org,(21) 92746-7965,1995-03-03,31.0,25-34,1,2026-05-20 12:43:22,2026-05,2026
56,Srta. Antonella da Paz,francisco34@example.org,(21) 92988-8478,1973-12-07,52.0,45-54,1,2026-05-20 12:43:22,2026-05,2026
57,Augusto da Cruz,xpimenta@example.org,(21) 99270-7991,1991-05-17,35.0,35-44,1,2026-05-20 12:43:22,2026-05,2026
58,Evelyn Silva,zmonteiro@example.org,(21) 99540-8939,1970-06-04,55.0,55+,1,2026-05-20 12:43:22,2026-05,2026
59,Srta. Bianca Vasconcelos,lcamara@example.net,(21) 95451-6502,1995-08-18,30.0,25-34,1,2026-05-20 12:43:22,2026-05,2026
60,Josué Campos,zcarvalho@example.com,(21) 93503-4505,2005-10-23,20.0,18-24,1,2026-05-20 12:43:22,2026-05,2026
61,Renato,nato_rj@yahoo.com.br,2197483-7243,,,55+,1,2026-05-22 18:28:21,2026-05,2026
